X,Y,u_1,d_u_x
2490742.5668466776,-6682990.335395086,-120431860.83068384,-5.479867487267666
2649583.503481875,-5793906.131279374,-133273899.843261,-7.340921833462843
-5358573.212629836,3446060.667615409,-133327299.71439911,14.976102777634518
-6270612.306706234,3414013.3807941675,-120399868.14254355,13.974133183060806
3414253.9118045885,-6259027.865200348,-120559804.0834508,-7.535591250209012
3446078.2908817427,-5358561.879190494,-133327323.14073034,-9.568223035235311
-4814460.142846906,4172602.84869511,-133358731.20388292,13.427055596691789
-5718745.094214789,4270348.595125058,-120509556.72354902,12.715796349513468
4267175.294426996,-5713582.613463847,-120605071.07727668,-9.44220228462993
4172619.09917948,-4814446.058807039,-133358820.6244396,-11.61072883810319
-5047889.717529129,5041111.22377537,-120586522.58247982,11.198211724819666
-4172619.09917948,4814446.058807039,-133358667.2725991,11.61118715414418
5035595.414320621,-5051251.1562786335,-120610629.76692855,-11.174285534793048
4814460.142846906,-4172602.84869511,-133358827.75553416,-13.426532277285425
-4277019.337455075,5711569.9130379325,-120537657.12595804,9.453431312237754
-3446078.2908817427,5358561.879190494,-133327141.88670884,9.56842842499806
5704889.818025769,-4285599.992753122,-120541364.25646232,-12.690522103967284
5358573.212629836,-3446060.667615409,-133327250.81391253,-14.975818098087396
-3416814.075581645,6258210.743606163,-120551930.45024262,7.540990532879653
-2649583.503481875,5793906.131279374,-133274063.830865,7.341748758037336
-2492813.621672907,6678286.530705228,-120490867.76588044,5.490899365145669
-1799295.5751205264,6111642.695164017,-133215964.75937784,4.9750802431775165
6258401.542579126,-3428593.211131223,-120460437.25862923,-13.96056578816828
5793913.734638947,-2649566.876974833,-133273973.98404454,-16.22280056879328
-1519627.6998428437,6965871.3590841815,-120386682.510584,3.3395077769691377
-911016.1343883468,6305528.574424519,-133171145.03704078,2.5105905850922423
6683199.40944352,-2500402.5101850745,-120375748.27633174,-14.947174225766656
6111644.444072153,-1799289.6346175023,-133215854.03508656,-17.137979035864348
6967928.417355624,-1520472.4384113587,-120351585.59806629,-15.6284197367666
6305528.694952736,-911015.3001611124,-133171161.67538948,-17.69930384627064
-509104.3185681528,7123802.197643272,-120140979.43068445,1.1149176930991018
0.0,6371000.0,-133153527.38343748,2.3541663737169925e-05
7115002.072066898,-512818.7452788388,-120277015.46777482,-15.966549973719792
6371000.0,0.0,-133153509.09275208,-17.880161418926413
510900.4788977494,7111025.047136736,-120342682.31198962,-1.122377282997022
911018.5165065468,6305528.230258129,-133171188.78408036,-2.510882775937864
1521738.401470404,6959735.317457614,-120475442.7789767,-3.3502169271343867
1799295.8336729074,6111642.619045008,-133215880.67784928,-4.97566095329617
7118994.097288393,508966.0949746239,-120217693.3719293,-15.959253546088902
6305528.855354328,911014.1899520196,-133171131.67389204,-17.699300269214003
6965603.792878488,1520353.5488010969,-120388379.50507356,-15.633861289887731
6111646.609212777,1799282.2802712126,-133215908.9357076,-17.138346545921525
2494601.107771161,6672376.050958741,-120569544.62564982,-5.502389488311387
2649575.6932653696,5793909.702925765,-133273844.35488544,-7.341408460923996
3417238.6550259776,6245646.410541658,-120724449.19118656,-7.56510876742984
3446071.436871155,5358566.286982067,-133327207.70382042,-9.568960758782062
6666285.233908668,2490666.430654501,-120682299.05814292,-14.991528472401022
5793915.610979584,2649562.773901964,-133274055.7182004,-16.22392579438689
4269564.099881682,5692580.095298101,-120849710.12319392,-9.490244396965174
4172615.0812296816,4814449.541110033,-133358777.6591338,-11.611895941091872
6238739.296038054,3409528.871138425,-120879411.98354964,-14.022195375695944
5358573.990842377,3446059.4575061537,-133327185.05843636,-14.976869558045868
5693825.41942814,4261598.745287943,-120909294.74896744,-12.75120338223558
4814458.921626527,4172604.257771248,-133358719.87695116,-13.427640604199174
5033372.529814062,5027120.10867619,-120905952.53304754,-11.230311572364462
-17815116.776977062,-17742559.61323579,-949666.1400062864,0.7317322794311362
-19113000.0,-17101105.263157904,0.0,1.0741186294944411
-19113000.0,-19113000.0,0.0,-4.302382206888833e-06
-17101105.263157748,-19113000.0,0.0,-3.9583874245889085e-05
-17653118.368155755,-16054240.75298891,-2383965.5392744155,1.6333769495168873
-19113000.0,-15089210.5263158,0.0,2.147094700940862
-16095360.253571792,-17331452.050032146,-2870335.5730831595,0.9509081232347248
-15089210.52631565,-19113000.0,0.0,-0.000121102690195866
-17550129.908195507,-14095275.8824138,-4182855.342782266,2.678647120264129
-19113000.0,-13077315.7894737,0.0,3.21314104598198
-16039235.986269137,-15126417.803977344,-6544723.238769031,2.132051598286487
-14619960.702796057,-16031892.843574602,-7393444.292916122,1.6444871811701454
-14032155.248794353,-17501378.576365907,-4367473.439845038,0.8555510434368344
-13077315.789473556,-19113000.0,0.0,-0.00020568333132553465
-15881378.181286205,-13132113.44000966,-10315912.798533978,3.206781689507149
-17501046.91346195,-12092356.981717387,-6015315.483870705,3.738662465703283
-19113000.0,-11065421.052631604,0.0,4.257372654318911
-14075809.349490728,-14191794.407194473,-13258981.64212085,2.641137273841918
-12949300.989932925,-15915162.663290557,-10517498.78815919,1.694230469826639
-12033521.26041841,-17509652.44538009,-6032296.152878914,0.835042603764809
-11065421.05263146,-19113000.0,0.0,-0.0003819088137624327
-14280161.871982632,-12136810.44719984,-18035305.12789983,3.7760183107356657
-15881042.85305541,-11098002.088539649,-13768725.228844477,4.298101886779949
-17495610.27563359,-10073563.177148256,-7703507.259010293,4.777770743705397
-19113000.0,-9053526.315789502,0.0,5.251983294130011
-6098351.280466468,-5274399.600062122,-106790835.79545043,10.574445163283013
-12774510.177653853,-12731867.641306276,-21699764.088611346,3.457674328754996
-5292681.915511086,-6092546.830348396,-106685727.12534548,9.112166034406393
-6447087.274054903,-6437917.051606595,-93099477.87360103,8.679040935011626
-11961842.542714626,-14169945.1595681,-18912629.62589384,2.631660299982576
-11011551.42593187,-15865024.046452556,-13982686.784877742,1.677561427528808
-10040728.82621689,-17493567.694395635,-7739697.970471044,0.8052728429727619
-9053526.315789364,-19113000.0,0.0,-0.0005675266099653223
-12627236.106190324,-11043463.35372006,-28137193.982110497,4.446568042284417
-14253051.639906555,-10078341.35420283,-23398537.689533982,4.927463681061962
-15872024.168227743,-9074003.930796497,-17112067.60939078,5.355613922590198
-17493828.390836634,-8057892.494026143,-9269754.96055699,5.751092065618647
-19113000.0,-7041631.578947405,0.0,6.15463715161379
-7282918.536272777,-5455264.866692888,-93174050.50608338,9.912711874920229
-7778041.4308137745,-6745230.064448647,-79475782.38912816,8.17766454884536
-6767508.6249095695,-4352786.312206791,-106939598.27740444,11.843019079363616
-10938090.157969913,-12275778.368481174,-30092605.826692488,3.704346339157689
-10721385.3221415,-9991703.997551445,-41575834.2976234,5.173550543908049
-9371825.402872412,-11147558.371279843,-42084954.42579772,4.356472643944595
-8874204.273266409,-9803277.517070284,-52271904.44835902,5.29999280807018
-9619053.587607466,-8589137.56421389,-54930219.843175314,6.253066120295854
-8192509.588408921,-8247247.671210648,-66163061.00124977,6.599036300993635
-6763558.8998758,-7800957.210490139,-79161024.28475039,6.966582295033696
-5462777.712166459,-7259052.095627991,-93355627.36656682,7.337634715637795
-4364484.124544476,-6763012.728227541,-106904860.71800543,7.517894295057521
-10033338.95146542,-14170935.405259795,-23918130.051315937,2.5512723264756696
-9034430.610862872,-15865017.470049342,-17212030.636013832,1.578362186170045
-8034661.436053487,-17494653.149455827,-9282019.500900688,0.7320862849634618
-7041631.578947272,-19113000.0,0.0,-0.0006592763818765354
-9444422.577836918,-6961049.045127628,-64951850.14375426,7.651875957723988
-11018491.852572933,-8030505.301013794,-48684964.74394024,6.521323901508996
-12600795.874511035,-9052207.507081054,-35148280.00424718,5.658819966763802
-14257048.96547218,-8065560.797879864,-28258270.19623648,6.033843687345496
-15871108.534999052,-7060503.451776356,-20126588.834766496,6.334323742728969
-17498227.366159413,-6044126.509698839,-10607207.95338932,6.608445932941194
-19113000.0,-5029736.842105305,0.0,6.910465393305756
-8537751.708433332,-5568944.541563985,-80387204.259884,9.278554415566251
-7911061.852763439,-4339341.093510183,-93945103.01141591,11.0393733055486
-7300426.398975642,-3338791.957812418,-107069879.96916188,12.893955199987444
-8983214.374451056,-12644596.889753569,-35132490.24738028,3.3567551157354365
-7879610.830151886,-11220646.385250678,-47994600.97897038,4.137791651235034
-6971209.566068217,-9525510.72596092,-64279216.658149965,5.286961959228634
-5556817.126555692,-8534300.546227794,-80489768.50761265,5.819816361770467
-4349523.70090536,-7916786.424038273,-93822414.7599174,5.866547458128882
-3350405.0010651667,-7308389.785010222,-106900504.90690328,5.75843963340867
-8039263.637235808,-14270661.068759546,-28237018.79292779,2.311260114393218
-7042666.835920592,-15895912.953888496,-19994179.3900428,1.3830809503856054
-6028148.695902919,-17506870.935407035,-10559850.81447962,0.6097838387615201
-5029736.842105176,-19113000.0,0.0,-0.0007084725897762804
-9858680.127754971,-5421327.920841307,-69159542.23746438,8.862622741736024
-11105980.15265306,-6125213.705626621,-55836601.39665327,7.865066320694066
-12674450.577769294,-7064667.086269788,-41116622.04147568,6.85549333897698
-14266680.928903377,-6063441.534824517,-32531600.95254898,7.053731305149623
-15894654.072146498,-5044557.649107986,-22503569.78059724,7.172712945541335
-17504182.684604455,-4030033.175446232,-11640901.659995684,7.288479163248136
-19113000.0,-3017842.105263209,0.0,7.45953185337676
-9246358.495327177,-4245573.58001173,-80243857.15428142,10.206053061459956
-8471709.650174305,-3161851.490100158,-93465147.46814908,11.847703124333748
-7680016.593357361,-2262848.743453302,-107226501.18498965,13.683039237789936
-7051993.504420022,-12735046.362921191,-40739936.76714153,3.009366647896199
-6112081.445188146,-11182353.634301694,-55286353.73571844,3.756144353755903
-5419684.637353555,-9889792.258721069,-68891378.46950026,4.477461896844135
