X (m),Y (m),Potencial (J/kg),-du/dx (1/m)
-5.2986881863e+06,6.9106773112e+06,-1.9929139873e+07,4.6002435558e+00
-5.1590650872e+06,6.2423857834e+06,-2.5936789011e+07,5.8739326316e+00
-5.3964975992e+06,7.7645493759e+06,-1.3108669727e+07,3.0586093153e+00
-4.7713715657e+06,7.2583559901e+06,-1.9318638832e+07,3.8484672635e+00
-6.0035924850e+06,8.7162280684e+06,-5.2490525063e+06,1.4476713354e+00
-6.5386578947e+06,9.5565000000e+06,0.0000000000e+00,-4.4917004897e-04
5.4470338636e+06,-5.8054988270e+06,-2.7530472142e+07,-6.8062636707e+00
6.5909577224e+06,-5.5786624172e+06,-2.0937119077e+07,-7.2172442238e+00
5.9949457250e+06,-5.4173729170e+06,-2.6290590571e+07,-7.5936678811e+00
7.1673719315e+06,-4.9761467136e+06,-1.9276332716e+07,-8.2591310652e+00
7.9673227740e+06,-5.5111457343e+06,-1.1300406316e+07,-7.1730531789e+00
8.7510875795e+06,-6.0324231739e+06,-4.9908263311e+06,-6.2084038771e+00
9.5565000000e+06,-6.5386578947e+06,0.0000000000e+00,-5.3150812252e+00
-4.5753948042e+06,6.5523055769e+06,-2.6472199076e+07,5.1206651476e+00
-4.0936838862e+06,7.1570431222e+06,-2.2856273373e+07,3.8088366800e+00
-4.4925933524e+06,7.9072045645e+06,-1.4526500609e+07,2.6488956847e+00
-4.9912436353e+06,8.7051085108e+06,-6.7726041406e+06,1.3984653240e+00
-5.5327105263e+06,9.5565000000e+06,0.0000000000e+00,-5.4092591125e-04
6.2967972893e+06,-4.8573218065e+06,-2.7229504808e+07,-8.6911492174e+00
6.7820322332e+06,-4.3056404532e+06,-2.5619563837e+07,-9.6133240204e+00
7.3729170287e+06,-4.2097440491e+06,-2.0335600216e+07,-9.5782811139e+00
8.0038670515e+06,-4.5645838324e+06,-1.3483723182e+07,-8.7994922972e+00
8.7651202023e+06,-5.0271957376e+06,-6.2471536445e+06,-7.9180186064e+00
9.5565000000e+06,-5.5327105263e+06,0.0000000000e+00,-7.0426199408e+00
-3.3590387078e+06,7.0843455315e+06,-2.6344163470e+07,3.5740861726e+00
-2.8999809779e+06,7.4103861697e+06,-2.4070616454e+07,2.7707771760e+00
-3.4665029601e+06,7.8693464976e+06,-1.7493921635e+07,2.3836672887e+00
-3.9953046910e+06,8.7296690563e+06,-7.8725906876e+06,1.2338613707e+00
-4.5267631579e+06,9.5565000000e+06,0.0000000000e+00,-4.8330629689e-04
7.0140289350e+06,-3.6181463025e+06,-2.6154936210e+07,-1.0767759219e+01
7.8990207575e+06,-3.5870322498e+06,-1.6895036912e+07,-1.0404906131e+01
7.3761148982e+06,-3.0152593092e+06,-2.4141341902e+07,-1.1524869253e+01
8.7655617970e+06,-4.0310907942e+06,-7.4869505579e+06,-9.5071294079e+00
9.5565000000e+06,-4.5267631579e+06,0.0000000000e+00,-8.6879497266e+00
-2.3567598349e+06,7.4060386735e+06,-2.5529365353e+07,2.3914804636e+00
-2.6240747412e+06,7.9930870302e+06,-1.7887809758e+07,1.8180136139e+00
-1.9636928826e+06,7.7754245720e+06,-2.1696174035e+07,1.6642148129e+00
-2.9739015175e+06,8.7833574252e+06,-8.4455046018e+06,9.6534551970e-01
-3.5208157895e+06,9.5565000000e+06,0.0000000000e+00,1.8370070399e-04
7.3727305801e+06,-2.4463369140e+06,-2.5722761391e+07,-1.2342339941e+01
7.9873599216e+06,-2.6809981760e+06,-1.7849944823e+07,-1.1644514684e+01
7.7541906593e+06,-2.0032546686e+06,-2.1896495271e+07,-1.2567010610e+01
8.7732956340e+06,-2.9894033121e+06,-8.5409815891e+06,-1.0968671176e+01
9.5565000000e+06,-3.5208157895e+06,0.0000000000e+00,-1.0182423766e+01
-1.2482062029e+06,7.8753410662e+06,-2.1377126215e+07,1.0435547976e+00
-1.9003434946e+06,8.5837165559e+06,-1.1762345695e+07,8.5653450432e-01
-2.5148684211e+06,9.5565000000e+06,0.0000000000e+00,2.3664541764e-04
7.8679407559e+06,-1.2792057448e+06,-2.1441509089e+07,-1.3133197230e+01
8.5562988866e+06,-1.9356375657e+06,-1.2066188414e+07,-1.2196036564e+01
9.5565000000e+06,-2.5148684211e+06,0.0000000000e+00,-1.1426300986e+01
-5.6218211066e+05,8.0518412747e+06,-1.9531520567e+07,4.1978023759e-01
2.8450019908e+03,7.8421553701e+06,-2.2487876253e+07,-2.4809941605e-03
-9.4346993703e+05,8.7204954085e+06,-1.0631044254e+07,3.8421080915e-01
-1.5089210526e+06,9.5565000000e+06,0.0000000000e+00,5.8439694860e-03
8.0525173854e+06,-5.7915458038e+05,-1.9515176140e+07,-1.3336612191e+01
7.8455389158e+06,-9.3719479949e+03,-2.2441749811e+07,-1.3608653919e+01
8.7046629210e+06,-9.7055274352e+05,-1.0823400697e+07,-1.2816101097e+01
9.5565000000e+06,-1.5089210526e+06,0.0000000000e+00,-1.2330730104e+01
5.4367299452e+05,8.0231417617e+06,-1.9922868066e+07,-4.1506789009e-01
1.7544166650e+04,8.5991550045e+06,-1.2397973007e+07,-6.0935288083e-03
-5.0297368421e+05,9.5565000000e+06,0.0000000000e+00,5.7784705983e-04
8.0664770769e+06,5.3714014530e+05,-1.9346598980e+07,-1.3338912017e+01
